Vin_V;Fsw_kHz;Vout_mean_V;Vout_max_steady_V;Vout_min_steady_V;Ripple_percent;Overshoot_percent;Static_error_V;Static_error_percent
268.0;160.0;29.59903335571289;30.0042724609375;29.29874992370605;2.3835999965667725;44.60411071777344;1.5990333557128906;5.710833549499512
268.0;196.0;26.43315696716309;26.656179428100582;26.101694107055664;2.097688674926758;67.20966339111328;1.566843032836914;5.595868110656738
268.0;197.0;26.35694122314453;26.543764114379883;26.068492889404297;1.803210973739624;66.46792602539062;1.6430587768554688;5.868067264556885
268.0;181.0;27.644020080566406;27.867542266845703;27.37080955505371;1.7968902587890625;70.42342376708984;0.3559799194335937;1.2713568210601809
268.0;182.0;27.560667037963867;27.77705192565918;27.28270530700684;1.7936670780181885;70.63487243652344;0.4393329620361328;1.5690462589263916
268.0;211.0;25.27705764770508;25.50637435913086;24.971349716186523;2.1166412830352783;42.33255386352539;2.722942352294922;9.724794387817385
271.0;196.0;26.73763656616211;26.929901123046875;26.44778060913086;1.8031530380249023;69.15080261230469;1.2623634338378906;4.508440971374512
271.0;197.0;26.67040634155273;26.870540618896484;26.36627197265625;1.8907421827316284;68.19258117675781;1.3295936584472656;4.748548984527588
271.0;181.0;27.970911026000977;28.205102920532227;27.67671585083008;1.8890591859817505;72.70337677001953;0.0290889739990234;0.1038891971111297
271.0;182.0;27.881553649902344;28.113000869750977;27.58685111999512;1.8870890140533447;72.86518859863281;0.1184463500976562;0.4230226874351501
271.0;211.0;25.57843017578125;25.807287216186523;25.25895118713379;2.1437437534332275;43.8234748840332;2.42156982421875;8.648463249206543
297.0;196.0;29.3820743560791;29.61623764038086;29.05227851867676;1.9193986654281616;85.90377044677734;1.3820743560791016;4.935979843139648
297.0;197.0;29.31461524963379;29.5360050201416;28.97073554992676;1.9282854795455933;85.21428680419922;1.314615249633789;4.695054531097412
